observation_start_date,observation_end_date,county_name,cbsa_name,cbsa_type,area_id,cbsa_id,inflow,outflow,income_diff,lat,lon
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086007200,33100,39,26,,25.72680170301005,-80.253624467727107
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086001701,33100,31,15,-6918.0,25.822427619314524,-80.2519097090587
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086007705,33100,36,19,22514.1,25.697955462692526,-80.326076254297874
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086005102,33100,18,22,21025.0,25.782827689747108,-80.223760673826959
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086007400,33100,76,84,-29649.5,25.729902442554351,-80.26552741340889
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086013300,33100,45,42,2134.5,25.880010338592236,-80.348458631602611
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086001801,33100,34,16,71.7,25.82779915502179,-80.232823525749936
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086002800,33100,16,0,159.0,25.79967193280654,-80.19911002979002
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086001005,33100,21,0,460.0,25.858423058646093,-80.214846066960732
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000405,33100,57,0,5144.0,25.894866363714634,-80.21879711265484
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086008202,33100,0,45,,25.620276394634903,-80.330537758822274
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000504,33100,0,48,,25.908274923030518,-80.252919425976884
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086008803,33100,29,82,4816.8,25.739399364898485,-80.376174559806415
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086012400,33100,34,0,-8113.0,25.942912547865248,-80.387774357745656
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000711,33100,18,66,-3580.0,25.847428612074637,-80.297002203000787
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086006705,33100,29,36,-2723.3,25.755032341264332,-80.195186807501415
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086010608,33100,65,0,-29396.1,25.5767899056618,-80.3471327772345
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086009600,33100,0,84,,25.949448536956581,-80.1981023936499
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086010204,33100,52,61,-19452.8,25.589620455376579,-80.399167876389185
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086000301,33100,40,100,18763.7,25.921676460541281,-80.199052017244711
2019-02-01,2019-02-28,Miami-Dade County,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,12086003916,33100,0,66,,25.856221179154588,-80.1450714106009
